Z2,Us,Q,W,s
Be,4,3.32,1.66,2.32,2.5
B,5,5.77,2.62,4.39,2.5
C,6,7.37,1.7,1.84,2.5
Al,13,3.39,1,2.17,2.5
Si,14,4.63,0.66,2.32,2.5
Ti,22,4.85,0.54,2.57,2.5
V,23,5.31,0.72,2.39,2.5
Cr,24,4.1,0.93,1.44,2.5
Mn,25,2.92,0.95,0.88,2.5
Fe,26,4.28,0.75,1.2,2.5
Co,27,4.39,1.02,1.54,2.5
Ni,28,4.44,0.94,1.33,2.5
Cu,29,3.49,1,0.73,2.5
Ge,32,3.85,0.59,2.08,2.5
Zr,40,6.25,0.54,2.5,2.8
Nb,41,7.57,0.93,2.65,2.8
Mo,42,6.82,0.85,2.39,2.8
Ru,44,6.74,1.31,2.36,2.5
Rh,45,5.75,1.14,2.59,2.5
Pd,46,3.89,0.85,1.36,2.5
Ag,47,2.95,1.08,1.03,2.8
Sn,50,3.14,0.47,0.88,2.5
Tb,65,4.05,0.9,1.42,2.5
Tm,69,2.42,0.65,0.85,2.5
Hf,72,6.44,0.65,2.25,2.5
Ta,73,8.1,0.56,2.84,2.8
W,74,8.9,0.72,2.14,2.8
Re,75,8.03,1.03,2.81,2.5
Os,76,8.17,1.11,2.86,2.5
Ir,77,6.94,0.96,2.43,2.5
Pt,78,5.84,1.03,3.21,2.5
Au,79,3.81,1.08,1.64,2.8
Th,90,6.2,0.63,2.79,2.5
U,92,5.55,0.66,2.78,2.5
